fecha,tipo_movimiento,referencia,descripcion,importe,proveedor_cliente,medio_pago,estado
06/08/2026,pago,OP-1017,PAGO PAPELERA DEL SUR SRL REF OP-1017,"293555,49",Papelera del Sur SRL,debito automatico,registrado
23/08/2026,pago,OP-1012,PAGO CLIENTE NEXO SA REF OP-1012,"278396,97",Cliente Nexo SA,transferencia,registrado
03/08/2026,pago,OP-2005,PAGO ESTUDIO JURIDICO PAZ REF OP-2005,"478138,01",Estudio Juridico Paz,debito automatico,registrado
15/08/2026,pago,OP-6000,PAGO SERVICIOS TECNICOS MR REF OP-6000,"98196,24",Servicios Tecnicos MR,mercado pago,pendiente
06/08/2026,pago,OP-1058,PAGO FERRETERIA INDUSTRIAL SA REF OP-1058,"69866,96",Ferreteria Industrial SA,mercado pago,registrado
17/08/2026,pago,OP-1034,PAGO LOGISTICA NORTE SRL REF OP-1034,"366455,97",Logistica Norte SRL,transferencia,registrado
25/08/2026,pago,OP-1061,PAGO DISTRIBUIDORA ANDINA SA REF OP-1061,"465211,21",Distribuidora Andina SA,cheque,registrado
24/08/2026,pago,OP-1056,PAGO PAPELERA DEL SUR SRL REF OP-1056,"31912,25",Papelera del Sur SRL,mercado pago,registrado
28/08/2026,factura,OP-5004,PAGO COMERCIAL VICENTE LOPEZ REF OP-5004,"419023,56",Comercial Vicente Lopez,efectivo,registrado
14/08/2026,pago,OP-4000,PAGO ESTUDIO JURIDICO PAZ REF OP-4000,"266554,47",Estudio Juridico Paz,cheque,registrado
05/08/2026,pago,OP-1023,PAGO FERRETERIA INDUSTRIAL SA REF OP-1023,"71149,75",Ferreteria Industrial SA,cheque,registrado
03/08/2026,pago,OP-6003,PAGO CLIENTE NEXO SA REF OP-6003,"135893,66",Cliente Nexo SA,mercado pago,pendiente
05/08/2026,pago,OP-2009,PAGO PAPELERA DEL SUR SRL REF OP-2009,"357132,76",Papelera del Sur SRL,mercado pago,registrado
21/08/2026,pago,OP-3000,PAGO CLIENTE NEXO SA REF OP-3000,"100115,92",Cliente Nexo SA,mercado pago,registrado
03/08/2026,pago,OP-2000,PAGO DISTRIBUIDORA ANDINA SA REF OP-2000,"461291,54",Distribuidora Andina SA,cheque,registrado
01/08/2026,factura,OP-5001,PAGO TRANSPORTES QUILMES SA REF OP-5001,"423435,53",Transportes Quilmes SA,cheque,registrado
