fecha,tipo_movimiento,referencia,descripcion,importe,proveedor_cliente,medio_pago,estado
28/08/2026,pago,OP-5004,PAGO COMERCIAL VICENTE LOPEZ REF OP-5004,"419023,56",Comercial Vicente Lopez,efectivo,acreditado
01/08/2026,pago,OP-1038,PAGO ESTUDIO JURIDICO PAZ REF OP-1038,"157622,44",Estudio Juridico Paz,transferencia,acreditado
26/08/2026,pago,OP-1028,PAGO TRANSPORTES QUILMES SA REF OP-1028,"302291,76",Transportes Quilmes SA,efectivo,acreditado
09/08/2026,pago,OP-1051,PAGO PAPELERA DEL SUR SRL REF OP-1051,"248252,47",Papelera del Sur SRL,efectivo,acreditado
25/08/2026,pago,OP-1036,PAGO SERVICIOS TECNICOS MR REF OP-1036,"75904,33",Servicios Tecnicos MR,cheque,acreditado
11/08/2026,pago,OP-1047,PAGO SERVICIOS TECNICOS MR REF OP-1047,"110180,63",Servicios Tecnicos MR,transferencia,acreditado
27/08/2026,pago,OP-1041,PAGO PAPELERA DEL SUR SRL REF OP-1041,"352119,92",Papelera del Sur SRL,transferencia,acreditado
19/08/2026,pago,OP-2002,PAGO COMERCIAL VICENTE LOPEZ REF OP-2002,"318907,03",Comercial Vicente Lopez,debito automatico,acreditado
02/08/2026,pago,OP-1002,PAGO PAPELERA DEL SUR SRL REF OP-1002,"284664,93",Papelera del Sur SRL,transferencia,acreditado
07/08/2026,pago,OP-1016,PAGO TRANSPORTES QUILMES SA REF OP-1016,"179576,32",Transportes Quilmes SA,mercado pago,acreditado
21/08/2026,pago,,TRANSF CLIENTE NEXO S.A. REF OP-3000,"100115,92",Cliente Nexo SA,mercado pago,acreditado
13/08/2026,pago,OP-1010,PAGO FERRETERIA INDUSTRIAL SA REF OP-1010,"258780,80",Ferreteria Industrial SA,transferencia,acreditado
28/08/2026,pago,,TRANSF LOGISTICA NORTE S.R.L. REF OP-3,"236029,69",Logistica Norte SRL,transferencia,acreditado
08/08/2026,pago,OP-5000,PAGO ESTUDIO JURIDICO PAZ REF OP-5000,"360500,82",Estudio Juridico Paz,cheque,acreditado
17/08/2026,pago,OP-1069,PAGO LOGISTICA NORTE SRL REF OP-1069,"441547,66",Logistica Norte SRL,cheque,acreditado
05/08/2026,pago,OP-1042,PAGO LOGISTICA NORTE SRL REF OP-1042,"368303,02",Logistica Norte SRL,efectivo,acreditado
13/08/2026,pago,OP-1025,PAGO COMERCIAL VICENTE LOPEZ REF OP-1025,"431261,52",Comercial Vicente Lopez,mercado pago,acreditado
26/08/2026,pago,OP-1053,PAGO ESTUDIO JURIDICO PAZ REF OP-1053,"228464,08",Estudio Juridico Paz,efectivo,acreditado
06/08/2026,pago,OP-1063,PAGO COMERCIAL VICENTE LOPEZ REF OP-1063,"433465,25",Comercial Vicente Lopez,efectivo,acreditado
15/08/2026,pago,,TRANSF INSUMOS BELGRANO S.R.L. REF OP-,"80074,60",Insumos Belgrano SRL,debito automatico,acreditado
07/08/2026,pago,OP-1007,PAGO CLIENTE NEXO SA REF OP-1007,"135544,63",Cliente Nexo SA,mercado pago,acreditado
11/08/2026,pago,OP-1019,PAGO LOGISTICA NORTE SRL REF OP-1019,"107756,44",Logistica Norte SRL,transferencia,acreditado
02/08/2026,pago,OP-1027,PAGO FERRETERIA INDUSTRIAL SA REF OP-1027,"46363,79",Ferreteria Industrial SA,transferencia,acreditado
05/08/2026,pago,OP-1023,PAGO FERRETERIA INDUSTRIAL SA REF OP-1023,"71149,75",Ferreteria Industrial SA,cheque,acreditado
27/08/2026,pago,,TRANSF TRANSPORTES QUILMES S.A. REF OP,"263246,57",Transportes Quilmes SA,mercado pago,acreditado
17/08/2026,pago,OP-1037,PAGO LOGISTICA NORTE SRL REF OP-1037,"457819,38",Logistica Norte SRL,transferencia,acreditado
23/08/2026,pago,OP-1012,PAGO CLIENTE NEXO SA REF OP-1012,"278396,97",Cliente Nexo SA,transferencia,acreditado
03/08/2026,pago,OP-2005,PAGO ESTUDIO JURIDICO PAZ REF OP-2005,"476848,59",Estudio Juridico Paz,debito automatico,acreditado
19/08/2026,pago,OP-1048,PAGO ESTUDIO JURIDICO PAZ REF OP-1048,"267220,57",Estudio Juridico Paz,cheque,acreditado
21/08/2026,pago,OP-1011,PAGO LOGISTICA NORTE SRL REF OP-1011,"142846,04",Logistica Norte SRL,debito automatico,acreditado
14/08/2026,pago,OP-1032,PAGO CLIENTE NEXO SA REF OP-1032,"56210,39",Cliente Nexo SA,cheque,acreditado
09/08/2026,pago,OP-1000,PAGO PAPELERA DEL SUR SRL REF OP-1000,"14930,13",Papelera del Sur SRL,cheque,acreditado
24/08/2026,pago,OP-1065,PAGO INSUMOS BELGRANO SRL REF OP-1065,"204774,57",Insumos Belgrano SRL,debito automatico,acreditado
23/08/2026,pago,OP-2007,PAGO FERRETERIA INDUSTRIAL SA REF OP-2007,"399010,08",Ferreteria Industrial SA,mercado pago,acreditado
04/08/2026,pago,OP-1001,PAGO SERVICIOS TECNICOS MR REF OP-1001,"69559,59",Servicios Tecnicos MR,debito automatico,acreditado
02/08/2026,pago,OP-1050,PAGO SERVICIOS TECNICOS MR REF OP-1050,"35149,96",Servicios Tecnicos MR,mercado pago,acreditado
